model,split,mae,rmse,r2,spearman
historical_mean,test,0.02453322885065454,0.025781710162538978,-1.2730914641689277,0.0
random_forest,test,0.03865137883367123,0.04350298504112124,-5.471896799940664,-0.7457757839945767
ridge,test,0.042417164931361155,0.04471384211585554,-5.837186801245765,0.7985481929068141
gbr,test,0.04138829694380089,0.04681606902329361,-6.4952022634100395,-0.584615254977971
last_value_carry_forward,test,0.043696944154323465,0.046923795291766816,-6.52973566863049,0.0
elastic_net,test,0.05321558506889348,0.054862834587590836,-9.293189125518953,0.8059279756834595
ridge,validation,0.022139217633140685,0.026862780734636632,-3.086664563149494,-0.44716623232570174
elastic_net,validation,0.024221837847631666,0.02917113259565947,-3.8191854632866624,-0.4695491521135257
random_forest,validation,0.024578746157466195,0.03236478720562532,-4.932156083053181,-0.4449662197248688
historical_mean,validation,0.0303028833516127,0.0330883854996736,-5.200378637797356,0.0
gbr,validation,0.02731643910999397,0.036128189379960776,-6.391957326728246,-0.4722371216200883
last_value_carry_forward,validation,0.05470534791337935,0.05629610648950282,-16.948318868689306,0.0
