model,mse,mae,r2,rmse,spearman,validation_rmse,train_rmse,best_params,status,reason
gradient_boosting,0.0003296037250852833,0.013531242757963347,-0.012066771623788775,0.01815499174016015,0.15878865904816655,0.019336245184220776,0.013028217846625625,"{""n_estimators"": 100, ""learning_rate"": 0.02, ""max_depth"": 2, ""subsample"": 1.0}",ok,
gaussian_process_regressor,0.00033341400976645536,0.01430970807251127,-0.023766464991160863,0.018259627864949914,0.12407653825127771,0.020227501439170736,0.0008048646476087651,"{""alpha"": 0.01, ""kernel_scale"": 0.5}",ok,
adaboost_regressor,0.000334175007676576,0.014090244502362823,-0.02610315186540335,0.018280454252468017,0.027840880455926597,0.017668656601240576,0.010349308743533975,"{""n_estimators"": 100, ""learning_rate"": 0.05, ""loss"": ""linear""}",ok,
knn_distance_weighted,0.00033501181363212545,0.013808056959599352,-0.028672611605851994,0.018303327938714465,0.05140952355174693,0.022714447054485574,0.0,"{""n_neighbors"": 45, ""weights"": ""distance"", ""p"": 2}",ok,
bagging_regressor,0.00033688494404884167,0.014949995501988543,-0.034424163877252445,0.01835442573465162,-0.07130277396959685,0.017963502216214823,0.004915026220389248,"{""n_estimators"": 300, ""max_samples"": 0.7, ""max_features"": 0.9}",ok,
historical_mean,0.0003374829475952849,0.014729175932100281,-0.0362603673925852,0.018370708957339804,0.0,,0.01592135117515584,{},ok,
knn_regressor,0.0003407393157117644,0.013888269860809314,-0.046259228801118324,0.018459125540278565,0.014648302244939399,0.022646265416997866,0.013564379135908312,"{""n_neighbors"": 45, ""weights"": ""uniform"", ""p"": 2}",ok,
knn_manhattan,0.0003414564023847465,0.014605669510017244,-0.048461083752580736,0.018478538967806588,-0.11614633888617683,0.02252507003053427,0.013568941630910564,"{""n_neighbors"": 45, ""weights"": ""uniform"", ""p"": 1}",ok,
svr_rbf,0.0003558431405606108,0.01807313881940543,-0.09263637229361965,0.018863805039297105,-0.3576237606113203,0.014375873556563942,0.016055590883735923,"{""C"": 1.0, ""epsilon"": 0.02, ""gamma"": 1.0}",ok,
decision_tree_regressor,0.0005700085866417634,0.019587572415949196,-0.7502434170945782,0.02387485259937249,-0.022997343520811783,0.01476927532665374,0.013308990783768421,"{""max_depth"": 3, ""min_samples_leaf"": 8}",ok,
zero_predictor,0.0008301645030729291,0.022460868426520682,-1.5490667871678134,0.02881257543283712,0.0,,0.024807633086773178,{},ok,
