model,mae,rmse,r2,spearman,validation_rmse,best_params,status,reason
knn_regressor,0.010711369391225087,0.014993474831251812,0.12041554950860378,0.32736700978896216,0.0252200388775159,"{""reg__n_neighbors"": 20, ""reg__p"": 1, ""reg__weights"": ""distance""}",ok,
gradient_boosting,0.009958814261252611,0.015393678610730358,0.07283338897768277,0.35662829524191236,0.023314332255590212,"{""learning_rate"": 0.02, ""max_depth"": 3, ""n_estimators"": 100, ""subsample"": 0.7}",ok,
adaboost,0.010611977854605586,0.015593367017553574,0.04862276531501142,0.2795494656562332,0.021060200050879413,"{""learning_rate"": 0.5, ""loss"": ""exponential"", ""n_estimators"": 200}",ok,
bagging,0.011075255972908477,0.016027909770809902,-0.005140404543171995,0.1928325839112467,0.022397586265348463,"{""max_features"": 0.8, ""max_samples"": 1.0, ""n_estimators"": 100}",ok,
svr_rbf,0.013484590267407339,0.016067923751265794,-0.01016537332087597,0.10050891142296749,0.01717864635818788,"{""reg__C"": 0.5, ""reg__epsilon"": 0.01, ""reg__gamma"": 1.0}",ok,
historical_mean,0.011575404186742648,0.016167988291352926,-0.022786354496800332,0.0,,{},ok,
nusvr_rbf,0.011157751271947855,0.016378094921580755,-0.04954175406660055,-0.014730589175674859,0.021749110979691427,"{""reg__C"": 0.5, ""reg__gamma"": 1.0, ""reg__nu"": 0.5}",ok,
kernel_ridge_rbf,0.012971386134103395,0.01899102755366156,-0.41113928040064995,-0.14374248785625549,0.02375407685104998,"{""reg__alpha"": 5.0, ""reg__gamma"": 0.01}",ok,
huber_regressor,0.014802637816145308,0.021067429475995034,-0.7365850215712937,-0.14931652416020472,0.02461449694406694,"{""reg__alpha"": 1e-05, ""reg__epsilon"": 1.6, ""reg__max_iter"": 2000}",ok,
zero_predictor,0.02001060397309617,0.02561258241272867,-1.566727069965792,0.0,,{},ok,
