model,mae,rmse,r2,spearman,validation_rmse,train_rmse,best_params,status,reason
gradient_boosting,0.013564839191464092,0.018180565793209823,-0.014920078250644231,0.16992430711364406,0.01746690181063982,0.013030331544367947,"{""n_estimators"": 100, ""learning_rate"": 0.02, ""max_depth"": 2, ""subsample"": 1.0}",ok,
historical_mean,0.014762820288834997,0.01835389730226792,-0.03436460163697186,0.0,,0.015764581768632466,{},ok,
knn_regressor,0.013963577552766226,0.01859649516512655,-0.06188933250449136,-0.0018614151623521941,0.01945104009902607,0.012775148086695427,"{""n_neighbors"": 40, ""weights"": ""uniform"", ""p"": 2}",ok,
svr_rbf,0.018101753016404785,0.018883577251737567,-0.09492807966927863,-0.3358267392313592,0.01560559598165594,0.015982196743585787,"{""C"": 0.5, ""epsilon"": 0.02, ""gamma"": 1.0}",ok,
bayesian_ridge,0.013724125656804741,0.019829474173056912,-0.2073674154272347,-0.09613657979924131,0.01379037056562732,0.015132960048049473,"{""alpha_1"": 1e-05, ""alpha_2"": 1e-06, ""lambda_1"": 1e-06, ""lambda_2"": 1e-05}",ok,
passive_aggressive_regressor,0.014801381534891318,0.019916387152861332,-0.21797444080208517,-0.011014124311161375,0.008061282791806823,0.016699916517199296,"{""C"": 0.1, ""epsilon"": 0.01, ""loss"": ""squared_epsilon_insensitive"", ""max_iter"": 2000}",ok,
ridge,0.013905388282161892,0.020053939576534386,-0.23485640598740676,-0.09034819116545392,0.013324981895572968,0.01511930664180893,"{""alpha"": 0.1}",ok,
orthogonal_matching_pursuit,0.014114455746911723,0.020180455847648833,-0.25048647580658145,-0.16414051177781153,0.012962130770501228,0.01512488807173535,"{""n_nonzero_coefs"": 5}",ok,
theil_sen_regressor,0.01561188616468268,0.021859038389472008,-0.4671656837414242,0.0670019472616696,0.018552334814758372,0.015607355440053297,"{""max_subpopulation"": 2000, ""max_iter"": 300, ""tol"": 0.001}",ok,
zero_predictor,0.022460868426520682,0.02881257543283712,-1.5490667871678134,0.0,,0.024777478551295435,{},ok,
mlp_regressor,0.07782351821732796,0.09419583033092781,-26.244598518204274,0.2372237355135933,0.14298108383681504,0.06432410271082543,"{""hidden_layer_sizes"": [64], ""alpha"": 0.01, ""learning_rate_init"": 0.001, ""max_iter"": 1200}",ok,
