label,model,threshold_rule,threshold,score_source,roc_auc,average_precision,f1,precision,recall,balanced_accuracy
high_dsv20_state_80,majority_class,majority_class,,test,0.5,0.4752475247524752,0.0,0.0,0.0,0.5
high_dsv20_state_80,logistic_regression,default_0_5,0.5,test,0.559748427672956,0.48972813524698194,0.6166219839142091,0.5021834061135371,0.7986111111111112,0.5408149895178197
high_dsv20_state_80,logistic_regression,max_f1,0.347945,test,0.559748427672956,0.48972813524698194,0.6808510638297872,0.5161290322580645,1.0,0.5754716981132075
high_dsv20_state_80,logistic_regression,max_balanced_accuracy,0.347945,test,0.559748427672956,0.48972813524698194,0.6808510638297872,0.5161290322580645,1.0,0.5754716981132075
high_dsv20_state_80,logistic_regression,max_recall_with_precision_ge_0_30,0.0,test,0.559748427672956,0.48972813524698194,0.6442953020134228,0.4752475247524752,1.0,0.5
high_dsv20_state_80,logistic_regression,best_from_validation,0.347945,test,0.559748427672956,0.48972813524698194,0.6808510638297872,0.5161290322580645,1.0,0.5754716981132075
high_dsv20_state_85,majority_class,majority_class,,test,0.5,0.39933993399339934,0.0,0.0,0.0,0.5
high_dsv20_state_85,logistic_regression,default_0_5,0.5,test,0.5524929615838707,0.4098602862683861,0.5696969696969697,0.44976076555023925,0.7768595041322314,0.5724956861320498
high_dsv20_state_85,logistic_regression,max_f1,0.404312,test,0.5524929615838707,0.4098602862683861,0.6020408163265306,0.4354243542435424,0.9752066115702479,0.5672736354554536
high_dsv20_state_85,logistic_regression,max_balanced_accuracy,0.436307,test,0.5524929615838707,0.4098602862683861,0.5962059620596206,0.4435483870967742,0.9090909090909091,0.5754245754245754
high_dsv20_state_85,logistic_regression,max_recall_with_precision_ge_0_30,0.0,test,0.5524929615838707,0.4098602862683861,0.5707547169811321,0.39933993399339934,1.0,0.5
high_dsv20_state_85,logistic_regression,best_from_validation,0.436307,test,0.5524929615838707,0.4098602862683861,0.5962059620596206,0.4435483870967742,0.9090909090909091,0.5754245754245754
