label_q,model,selected_threshold,threshold_selection_rule,criteria_thresholds_json
75,majority_class,,not_applicable,{}
75,logistic_regression_default_0_5,0.5,fixed_0_5,"{""default_threshold"": 0.5}"
75,logistic_regression_balanced_tuned,0.266343,selected_from_multi_objective_candidates,"{""max_f1"": 0.266343, ""max_balanced_accuracy"": 0.266343, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
75,random_forest,0.0,selected_from_multi_objective_candidates,"{""max_f1"": 0.0, ""max_balanced_accuracy"": 0.360324, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
75,extra_trees,0.0,selected_from_multi_objective_candidates,"{""max_f1"": 0.0, ""max_balanced_accuracy"": 0.494468, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
75,gradient_boosting,0.0,selected_from_multi_objective_candidates,"{""max_f1"": 0.0, ""max_balanced_accuracy"": 0.404858, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
75,hist_gradient_boosting,0.0,selected_from_multi_objective_candidates,"{""max_f1"": 0.0, ""max_balanced_accuracy"": 0.315997, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
75,svc_rbf,0.0,selected_from_multi_objective_candidates,"{""max_f1"": 0.0, ""max_balanced_accuracy"": 0.257238, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
75,linear_svc_calibrated,0.0,selected_from_multi_objective_candidates,"{""max_f1"": 0.0, ""max_balanced_accuracy"": 0.328683, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
75,knn_classifier,0.0,selected_from_multi_objective_candidates,"{""max_f1"": 0.0, ""max_balanced_accuracy"": 0.513708, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
75,gaussian_nb,0.0,selected_from_multi_objective_candidates,"{""max_f1"": 0.0, ""max_balanced_accuracy"": 0.10175, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
80,majority_class,,not_applicable,{}
80,logistic_regression_default_0_5,0.5,fixed_0_5,"{""default_threshold"": 0.5}"
80,logistic_regression_balanced_tuned,0.306895,selected_from_multi_objective_candidates,"{""max_f1"": 0.306895, ""max_balanced_accuracy"": 0.313021, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
80,random_forest,0.296666,selected_from_multi_objective_candidates,"{""max_f1"": 0.296666, ""max_balanced_accuracy"": 0.296666, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
80,extra_trees,0.0,selected_from_multi_objective_candidates,"{""max_f1"": 0.0, ""max_balanced_accuracy"": 0.376208, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
80,gradient_boosting,0.301128,selected_from_multi_objective_candidates,"{""max_f1"": 0.301128, ""max_balanced_accuracy"": 0.344677, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
80,hist_gradient_boosting,0.0,selected_from_multi_objective_candidates,"{""max_f1"": 0.0, ""max_balanced_accuracy"": 0.091774, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
80,svc_rbf,0.123345,selected_from_multi_objective_candidates,"{""max_f1"": 0.123345, ""max_balanced_accuracy"": 0.201546, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
80,linear_svc_calibrated,0.248746,selected_from_multi_objective_candidates,"{""max_f1"": 0.248746, ""max_balanced_accuracy"": 0.248746, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
80,knn_classifier,0.0,selected_from_multi_objective_candidates,"{""max_f1"": 0.0, ""max_balanced_accuracy"": 0.396272, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
80,gaussian_nb,0.059382,selected_from_multi_objective_candidates,"{""max_f1"": 0.059382, ""max_balanced_accuracy"": 0.059382, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
85,majority_class,,not_applicable,{}
85,logistic_regression_default_0_5,0.5,fixed_0_5,"{""default_threshold"": 0.5}"
85,logistic_regression_balanced_tuned,0.375265,selected_from_multi_objective_candidates,"{""max_f1"": 0.375265, ""max_balanced_accuracy"": 0.375265, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
85,random_forest,0.085028,selected_from_multi_objective_candidates,"{""max_f1"": 0.085028, ""max_balanced_accuracy"": 0.312828, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
85,extra_trees,0.346364,selected_from_multi_objective_candidates,"{""max_f1"": 0.346364, ""max_balanced_accuracy"": 0.38707, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
85,gradient_boosting,0.155695,selected_from_multi_objective_candidates,"{""max_f1"": 0.155695, ""max_balanced_accuracy"": 0.209167, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
85,hist_gradient_boosting,0.000152,selected_from_multi_objective_candidates,"{""max_f1"": 0.000152, ""max_balanced_accuracy"": 0.000152, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
85,svc_rbf,0.284848,selected_from_multi_objective_candidates,"{""max_f1"": 0.284848, ""max_balanced_accuracy"": 0.284848, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
85,linear_svc_calibrated,0.206858,selected_from_multi_objective_candidates,"{""max_f1"": 0.206858, ""max_balanced_accuracy"": 0.206858, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
85,knn_classifier,0.231822,selected_from_multi_objective_candidates,"{""max_f1"": 0.231822, ""max_balanced_accuracy"": 0.231822, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
85,gaussian_nb,0.063308,selected_from_multi_objective_candidates,"{""max_f1"": 0.063308, ""max_balanced_accuracy"": 0.103129, ""max_recall_subject_to_precision_ge_0_30"": 0.0}"
