n_estimators,oob_error,validation_average_precision,validation_balanced_accuracy,validation_f1
10,0.12757527733755947,0.48058745520954727,0.534409654272668,0.19047619047619047
20,0.1133122028526149,0.47013787767703313,0.5362035225048923,0.16494845360824742
30,0.10618066561014261,0.445679963218433,0.5325342465753424,0.14736842105263157
40,0.1077654516640254,0.47805774007985447,0.5444390084801044,0.18556701030927836
50,0.1022187004754358,0.49124408892225563,0.5430528375733855,0.1702127659574468
75,0.10063391442155312,0.50695002859057,0.5229125896934116,0.10869565217391304
100,0.09508716323296351,0.5061992656747577,0.5229125896934116,0.10869565217391304
150,0.09429477020602217,0.49554551847059275,0.5123939986953685,0.08602150537634409
200,0.08954041204437402,0.4829623413962227,0.5183463796477494,0.10638297872340426
300,0.0855784469096672,0.48469662520279094,0.5087247227658187,0.06593406593406594
400,0.0855784469096672,0.4902254845138566,0.5206294846705806,0.10752688172043011
500,0.08478605388272586,0.4873457560948989,0.5206294846705806,0.10752688172043011
