dy_parameter_version,dy_parameter_label,spec_id,spec_name,label,feature_group,model,threshold_rule,threshold,roc_auc,average_precision,f1,precision,recall,balanced_accuracy,n_test,dy_params
baseline,"Baseline (p=5, H=20, discount=0.99)",spec1_main,Spec 1 (80% + net-only),high_dsv20_state_80,net-only,random_forest,default_0.5,0.5,0.42182843763303535,0.23798600820660382,0.08108108108108109,0.09836065573770492,0.06896551724137931,0.40716794380587484,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
baseline,"Baseline (p=5, H=20, discount=0.99)",spec1_main,Spec 1 (80% + net-only),high_dsv20_state_80,net-only,random_forest,max_f1,0.17,0.42182843763303535,0.23798600820660382,0.2956521739130435,0.23776223776223776,0.39080459770114945,0.4430874840357599,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
baseline,"Baseline (p=5, H=20, discount=0.99)",spec1_main,Spec 1 (80% + net-only),high_dsv20_state_80,net-only,random_forest,max_balanced_accuracy,0.15000000000000002,0.42182843763303535,0.23798600820660382,0.30962343096234307,0.24342105263157895,0.42528735632183906,0.44643997445721584,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
baseline,"Baseline (p=5, H=20, discount=0.99)",spec1_main,Spec 1 (80% + net-only),high_dsv20_state_80,net-only,random_forest,max_recall_precision_ge_0.30,0.060000000000000005,0.42182843763303535,0.23798600820660382,0.3987138263665595,0.2767857142857143,0.7126436781609196,0.4813218390804598,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
baseline,"Baseline (p=5, H=20, discount=0.99)",spec1_main,Spec 1 (80% + net-only),high_dsv20_state_80,net-only,majority_class,na,,0.5,0.2871287128712871,0.0,0.0,0.0,0.5,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
baseline,"Baseline (p=5, H=20, discount=0.99)",spec2_strict,Spec 2 (85% + total-only),high_dsv20_state_85,total-only,random_forest,default_0.5,0.5,0.5114442511042698,0.21450708209707745,0.05128205128205128,0.125,0.03225806451612903,0.4870833891045375,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
baseline,"Baseline (p=5, H=20, discount=0.99)",spec2_strict,Spec 2 (85% + total-only),high_dsv20_state_85,total-only,random_forest,max_f1,0.08,0.5114442511042698,0.21450708209707745,0.3225806451612903,0.22580645161290322,0.5645161290322581,0.5332954089144692,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
baseline,"Baseline (p=5, H=20, discount=0.99)",spec2_strict,Spec 2 (85% + total-only),high_dsv20_state_85,total-only,random_forest,max_balanced_accuracy,0.08,0.5114442511042698,0.21450708209707745,0.3225806451612903,0.22580645161290322,0.5645161290322581,0.5332954089144692,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
baseline,"Baseline (p=5, H=20, discount=0.99)",spec2_strict,Spec 2 (85% + total-only),high_dsv20_state_85,total-only,majority_class,na,,0.5,0.20462046204620463,0.0,0.0,0.0,0.5,303,"{""p"": 5, ""H"": 20, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
lag_p2,Lag robustness (p=2),spec1_main,Spec 1 (80% + net-only),high_dsv20_state_80,net-only,random_forest,default_0.5,0.5,0.618374840357599,0.3959385039371008,0.16981132075471697,0.47368421052631576,0.10344827586206896,0.5285759897828863,303,"{""p"": 2, ""H"": 20, ""discount_factor"": 0.99, ""innovation_covariance_smoothing"": 0.96, ""initialization_window"": 250}"
