label,feature_group,model,threshold_rule,threshold,split,roc_auc,average_precision,f1,precision,recall,balanced_accuracy,selected_for_final,n_train,n_validation,n_test,model_params
high_dsv20_state_75,total_only,random_forest_tuned_threshold,max_f1,0.440805,test,0.536834624056465,0.34718190441039265,0.5087719298245614,0.36099585062240663,0.8613861386138614,0.5495049504950495,False,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_75,total_only,random_forest_tuned_threshold,max_balanced_accuracy,0.483396,test,0.536834624056465,0.34718190441039265,0.48375451263537905,0.3806818181818182,0.6633663366336634,0.5618811881188119,True,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_75,total_only,random_forest_tuned_threshold,max_recall_precision_ge_0_30,0.329293,test,0.536834624056465,0.34718190441039265,0.4987012987012987,0.3380281690140845,0.9504950495049505,0.5099009900990099,False,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_75,total_only,random_forest_default_0_5,default_0_5,0.5,test,0.536834624056465,0.34718190441039265,0.3333333333333333,0.3300970873786408,0.33663366336633666,0.4975247524752475,False,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_75,total_only,majority_class,majority_class,,test,0.5,0.3333333333333333,0.0,0.0,0.0,0.5,False,1262,303,303,{}
high_dsv20_state_75,net_only,random_forest_tuned_threshold,max_f1,0.30875,test,0.6833398686403294,0.5710701527568027,0.48372093023255813,0.45614035087719296,0.5148514851485149,0.6039603960396039,True,1262,303,303,"{""n_estimators"": 800, ""max_depth"": null, ""min_samples_leaf"": 1, ""random_state"": 42}"
high_dsv20_state_75,net_only,random_forest_tuned_threshold,max_balanced_accuracy,0.30875,test,0.6833398686403294,0.5710701527568027,0.48372093023255813,0.45614035087719296,0.5148514851485149,0.6039603960396039,False,1262,303,303,"{""n_estimators"": 800, ""max_depth"": null, ""min_samples_leaf"": 1, ""random_state"": 42}"
high_dsv20_state_75,net_only,random_forest_tuned_threshold,max_recall_precision_ge_0_30,0.035,test,0.6833398686403294,0.5710701527568027,0.5012406947890818,0.3344370860927152,1.0,0.5024752475247525,False,1262,303,303,"{""n_estimators"": 800, ""max_depth"": null, ""min_samples_leaf"": 1, ""random_state"": 42}"
high_dsv20_state_75,net_only,random_forest_default_0_5,default_0_5,0.5,test,0.6833398686403294,0.5710701527568027,0.37142857142857144,0.6666666666666666,0.25742574257425743,0.5965346534653466,False,1262,303,303,"{""n_estimators"": 800, ""max_depth"": null, ""min_samples_leaf"": 1, ""random_state"": 42}"
high_dsv20_state_75,net_only,majority_class,majority_class,,test,0.5,0.3333333333333333,0.0,0.0,0.0,0.5,False,1262,303,303,{}
high_dsv20_state_75,total_plus_net,random_forest_tuned_threshold,max_f1,0.456565,test,0.5396774825997451,0.41466165252196263,0.43866171003717475,0.35119047619047616,0.5841584158415841,0.5222772277227723,True,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_75,total_plus_net,random_forest_tuned_threshold,max_balanced_accuracy,0.456565,test,0.5396774825997451,0.41466165252196263,0.43866171003717475,0.35119047619047616,0.5841584158415841,0.5222772277227723,False,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_75,total_plus_net,random_forest_tuned_threshold,max_recall_precision_ge_0_30,0.327261,test,0.5396774825997451,0.41466165252196263,0.5063291139240507,0.3401360544217687,0.9900990099009901,0.5148514851485149,False,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_75,total_plus_net,random_forest_default_0_5,default_0_5,0.5,test,0.5396774825997451,0.41466165252196263,0.41836734693877553,0.43157894736842106,0.40594059405940597,0.5693069306930694,False,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_75,total_plus_net,majority_class,majority_class,,test,0.5,0.3333333333333333,0.0,0.0,0.0,0.5,False,1262,303,303,{}
high_dsv20_state_80,total_only,random_forest_tuned_threshold,max_f1,0.412927,test,0.5600255427841634,0.3311532150824416,0.4482758620689655,0.2988505747126437,0.896551724137931,0.5246647509578544,False,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
high_dsv20_state_80,total_only,random_forest_tuned_threshold,max_balanced_accuracy,0.413982,test,0.5600255427841634,0.3311532150824416,0.44970414201183434,0.30278884462151395,0.8735632183908046,0.5316890166028098,True,1262,303,303,"{""n_estimators"": 200, ""max_depth"": 3, ""min_samples_leaf"": 5, ""random_state"": 42}"
