input_version,spec_id,label,feature_group,model,threshold_rule,threshold,roc_auc,average_precision,f1,precision,recall,balanced_accuracy,n_test
baseline,spec1_main,high_dsv20_state_80,net-only,random_forest,max_f1,0.16,0.5954927628778204,0.43949345346364643,0.4503311258278146,0.31627906976744186,0.7816091954022989,0.5505268199233717,303
baseline,spec1_main,high_dsv20_state_80,net-only,random_forest,max_balanced_accuracy,0.16,0.5954927628778204,0.43949345346364643,0.4503311258278146,0.31627906976744186,0.7816091954022989,0.5505268199233717,303
baseline,spec1_main,high_dsv20_state_80,net-only,random_forest,max_recall_precision_ge_0_30,0.06,0.5954927628778204,0.43949345346364643,0.4562334217506631,0.296551724137931,0.9885057471264368,0.5220306513409961,303
baseline,spec1_main,high_dsv20_state_80,net-only,random_forest,default_0_5,0.5,0.5954927628778204,0.43949345346364643,0.24074074074074073,0.6190476190476191,0.14942528735632185,0.5561941251596424,303
baseline,spec1_main,high_dsv20_state_80,net-only,majority_class,na,,,,0.0,0.0,0.0,0.5,303
baseline,spec2_strict,high_dsv20_state_85,total-only,random_forest,max_f1,0.04,0.514388970686655,0.23251304290849434,0.3475177304964539,0.22272727272727272,0.7903225806451613,0.5403895060902155,303
baseline,spec2_strict,high_dsv20_state_85,total-only,random_forest,max_balanced_accuracy,0.04,0.514388970686655,0.23251304290849434,0.3475177304964539,0.22272727272727272,0.7903225806451613,0.5403895060902155,303
baseline,spec2_strict,high_dsv20_state_85,total-only,random_forest,default_0_5,0.5,0.514388970686655,0.23251304290849434,0.08108108108108109,0.25,0.04838709677419355,0.5055213492169723,303
baseline,spec2_strict,high_dsv20_state_85,total-only,majority_class,na,,,,0.0,0.0,0.0,0.5,303
winsorized,spec1_main,high_dsv20_state_80,net-only,random_forest,max_f1,0.12,0.5832002979991486,0.4009521714373882,0.47491638795986624,0.33490566037735847,0.8160919540229885,0.5816570881226053,303
winsorized,spec1_main,high_dsv20_state_80,net-only,random_forest,max_balanced_accuracy,0.12,0.5832002979991486,0.4009521714373882,0.47491638795986624,0.33490566037735847,0.8160919540229885,0.5816570881226053,303
winsorized,spec1_main,high_dsv20_state_80,net-only,random_forest,max_recall_precision_ge_0_30,0.12,0.5832002979991486,0.4009521714373882,0.47491638795986624,0.33490566037735847,0.8160919540229885,0.5816570881226053,303
winsorized,spec1_main,high_dsv20_state_80,net-only,random_forest,default_0_5,0.5,0.5832002979991486,0.4009521714373882,0.14736842105263157,0.875,0.08045977011494253,0.5379150702426564,303
winsorized,spec1_main,high_dsv20_state_80,net-only,majority_class,na,,,,0.0,0.0,0.0,0.5,303
winsorized,spec2_strict,high_dsv20_state_85,total-only,random_forest,max_f1,0.0,0.5152255387498327,0.20293992601671174,0.33972602739726027,0.20462046204620463,1.0,0.5,303
winsorized,spec2_strict,high_dsv20_state_85,total-only,random_forest,max_balanced_accuracy,0.1,0.5152255387498327,0.20293992601671174,0.2857142857142857,0.2,0.5,0.4927385892116183,303
winsorized,spec2_strict,high_dsv20_state_85,total-only,random_forest,default_0_5,0.5,0.5152255387498327,0.20293992601671174,0.02631578947368421,0.07142857142857142,0.016129032258064516,0.48109356177218576,303
winsorized,spec2_strict,high_dsv20_state_85,total-only,majority_class,na,,,,0.0,0.0,0.0,0.5,303
